,,,,,,
,,,,,,
,Game Title,Success Year (Start),Success Milestone Reached,Publisher's Structural Commitment (Event/League Founding From Gemini),Viewership/Stability Confirmation (Data Point From Gemini),Jake's Additional Validation
,Fortnite,2020,2021,FNCS (Fortnite Champion Series) established global competition circuit across all major regions (2020).,Viewership remained high and stable from 2020 to 2021 following the World Cup peak.,"https://escharts.com/games/fortnite -- it's been difficult for Fortnite to actually stack up to it's initial successes with the World Cup at the height of Fortnite-mania. But actually, viewership has been stable and growing ever since. "
,Crossfire,2020,2021,Structural continuity in Asia/LATAM confirmed from 2020–2021.,,"https://escharts.com/games/cf growth here has been good... but scale is definitely very low. On any other success metric, I'm not sure we'd be seeing this one."
,Free Fire,2021,2022,FFWS structural stability confirmed (LATAM/Asia/EMEA) with continued massive viewership from 2021–2022.,,"https://escharts.com/games/free-fire what the fuck happened here? Is this a PUBG mobile thing? I'm not sure this can qualify as ""stable"" or ""growing"" except if we squint. But I'm going to leave it in and hope the data police don't get at me."
,TrackMania,2021,2022,TMGL World Tour structural stability confirmed (EU/NA) with stable viewership from 2021–2022.,,https://escharts.com/games/trackmania looks fine.
,Brawl Stars,2021,2022,"BSC (Brawl Stars Championship) established global leagues across Americas, EMEA, and Asia (2021).","Viewership has seen exponential increases, confirming growth from 2021 to 2023/2024.",Flip to the Viewership Over Time tab to see this in action. I agree with Gemini. The game has been on quite the journey.
,Teamfight Tactics,2021,2022,"Riot's Global Championship circuit launched regional leagues across EMEA, APAC, and Americas (2021).","Stable, dedicated competitive viewing base confirmed through 2023.","Like Fortnite, we see an initial massive peak here followed by the implementation of strong ecosystem and slow growth from there. https://escharts.com/games/tft "
,Age of Empires,2022,2023,"High-tier multi-regional series (Red Bull Wololo, etc.) established across Europe and Americas/Asia (2022).",Viewership was stable and consistent through 2023.,In our window of analysis (up to about Dec '23) this is a winner. Since then... I'm not so sure. https://escharts.com/games/aoe 
,Wild Rift,2022,2023,"Riot established WRL/WCS systems across Asia, Europe, and the Americas (2022).",Stable audience and structural integrity confirmed through 2023.,"No data on escharts for this, so we're mostly just trusting our buddy gemini here. Gulp. I do remember it having an esport, lol."
,PUBG PC,2022,2023,"Global Championship fed by regional leagues across Asia, Europe, and the Americas (2022).",Viewership showed clear recovery and growth from 2022 through 2023.,"Another big opener with a set of stabilised, smaller years afterward. Interesting pattern. https://escharts.com/games/pubg"
,Apex Legends,2022,2023,"ALGS Pro League established across five regions (NA, EMEA, APAC North/South) (2022).","Viewership grew substantially from 2021 to 2022, fulfilling the initial growth period.",https://escharts.com/games/apex
,Guilty Gear,2022,2023,ARC World Tour (AWT) successfully relaunched and stabilized its global circuit (2022).,Demonstrated stable and clear audience growth from 2022 through 2023.,https://escharts.com/games/guilty-gear
,PUBG Mobile (PUBGM),2022,2023,"PMSL and PMGC multi-regional league established across Asia, MENA, and Europe (2022).",Viewership stabilized and showed growth from 2022 to 2023.,https://escharts.com/games/pubg-mobile I wish I knew more about this game
,Halo,2022,2023,HCS Infinite structure active (NA/EU) and stable viewership confirmed from 2022–2023.,,Bit of a late bloomer
,VALORANT,2023,2024,"VCT International Franchised Leagues fully operational across Americas, EMEA, and Pacific (2023).",Viewership continued to grow and set new records from 2023 to 2024.,"Again, viewership included on the next tabs. Also, I was there and helped do this."
,Mobile Legends: BB (MLBB),2023,2024,"MPL/M-series (MPL ID, PH, MY, etc.) structure solidified into a global ecosystem (2023).",Broke viewership records and showed massive audience growth from 2023 to 2024.,https://escharts.com/games/mobile-legends  this is cray. I feel we could put the success metric a year or two earlier but since this is where Gemini landed it I'll leave it here for consistency.
